<<<<<<< HEAD
Time            	OH              	H2O             	H3O             	O2              	I1              	I1*             	I2*             	I3*             	I4*             
3.9810717055e-12	2.1728984224e+04	-1.6538735679e+04	4.3433846432e+03	-4.7538441123e+03	0.0000000000e+00	1.6888089438e+03	-1.6543556101e+01	2.5944963312e+01	-1.6982103510e+03
4.0738027780e-12	2.1728983250e+04	-1.6538734803e+04	4.3433837736e+03	-4.7538441123e+03	0.0000000000e+00	1.6888080639e+03	-1.6543547708e+01	2.5943995831e+01	-1.6982085120e+03
4.1686938347e-12	2.1728982254e+04	-1.6538733907e+04	4.3433828837e+03	-4.7538441124e+03	0.0000000000e+00	1.6888071635e+03	-1.6543539120e+01	2.5943005816e+01	-1.6982066302e+03
4.2657951880e-12	2.1728981234e+04	-1.6538732990e+04	4.3433819731e+03	-4.7538441124e+03	0.0000000000e+00	1.6888062421e+03	-1.6543530332e+01	2.5941992741e+01	-1.6982047045e+03
4.3651583224e-12	2.1728980191e+04	-1.6538732051e+04	4.3433810414e+03	-4.7538441124e+03	0.0000000000e+00	1.6888052992e+03	-1.6543521339e+01	2.5940956070e+01	-1.6982027340e+03
4.4668359215e-12	2.1728979123e+04	-1.6538731090e+04	4.3433800879e+03	-4.7538441125e+03	0.0000000000e+00	1.6888043344e+03	-1.6543512137e+01	2.5939895254e+01	-1.6982007176e+03
4.5708818961e-12	2.1728978030e+04	-1.6538730108e+04	4.3433791122e+03	-4.7538441125e+03	0.0000000000e+00	1.6888033472e+03	-1.6543502720e+01	2.5938809729e+01	-1.6981986542e+03
4.6773514129e-12	2.1728976912e+04	-1.6538729102e+04	4.3433781137e+03	-4.7538441125e+03	0.0000000000e+00	1.6888023369e+03	-1.6543493084e+01	2.5937698920e+01	-1.6981965427e+03
4.7863009232e-12	2.1728975768e+04	-1.6538728073e+04	4.3433770921e+03	-4.7538441126e+03	0.0000000000e+00	1.6888013031e+03	-1.6543483223e+01	2.5936562239e+01	-1.6981943821e+03
4.8977881937e-12	2.1728974597e+04	-1.6538727019e+04	4.3433760466e+03	-4.7538441126e+03	0.0000000000e+00	1.6888002452e+03	-1.6543473133e+01	2.5935399082e+01	-1.6981921711e+03
5.0118723363e-12	2.1728973399e+04	-1.6538725942e+04	4.3433749768e+03	-4.7538441126e+03	0.0000000000e+00	1.6887991626e+03	-1.6543462808e+01	2.5934208834e+01	-1.6981899087e+03
5.1286138399e-12	2.1728972173e+04	-1.6538724839e+04	4.3433738820e+03	-4.7538441127e+03	0.0000000000e+00	1.6887980549e+03	-1.6543452242e+01	2.5932990862e+01	-1.6981875935e+03
5.2480746025e-12	2.1728970919e+04	-1.6538723710e+04	4.3433727618e+03	-4.7538441127e+03	0.0000000000e+00	1.6887969214e+03	-1.6543441430e+01	2.5931744523e+01	-1.6981852245e+03
5.3703179637e-12	2.1728969635e+04	-1.6538722556e+04	4.3433716154e+03	-4.7538441127e+03	0.0000000000e+00	1.6887957614e+03	-1.6543430367e+01	2.5930469154e+01	-1.6981828002e+03
5.4954087386e-12	2.1728968321e+04	-1.6538721374e+04	4.3433704424e+03	-4.7538441128e+03	0.0000000000e+00	1.6887945745e+03	-1.6543419045e+01	2.5929164080e+01	-1.6981803195e+03
5.6234132519e-12	2.1728966977e+04	-1.6538720165e+04	4.3433692420e+03	-4.7538441128e+03	0.0000000000e+00	1.6887933598e+03	-1.6543407460e+01	2.5927828608e+01	-1.6981777810e+03
5.7543993734e-12	2.1728965601e+04	-1.6538718927e+04	4.3433680137e+03	-4.7538441129e+03	0.0000000000e+00	1.6887921169e+03	-1.6543395605e+01	2.5926462032e+01	-1.6981751834e+03
5.8884365536e-12	2.1728964194e+04	-1.6538717661e+04	4.3433667568e+03	-4.7538441129e+03	0.0000000000e+00	1.6887908451e+03	-1.6543383474e+01	2.5925063626e+01	-1.6981725253e+03
6.0255958607e-12	2.1728962754e+04	-1.6538716366e+04	4.3433654706e+03	-4.7538441129e+03	0.0000000000e+00	1.6887895436e+03	-1.6543371061e+01	2.5923632650e+01	-1.6981698052e+03
6.1659500186e-12	2.1728961280e+04	-1.6538715040e+04	4.3433641544e+03	-4.7538441130e+03	0.0000000000e+00	1.6887882118e+03	-1.6543358358e+01	2.5922168344e+01	-1.6981670218e+03
6.3095734448e-12	2.1728959771e+04	-1.6538713683e+04	4.3433628076e+03	-4.7538441130e+03	0.0000000000e+00	1.6887868490e+03	-1.6543345360e+01	2.5920669932e+01	-1.6981641736e+03
6.4565422903e-12	2.1728958228e+04	-1.6538712295e+04	4.3433614295e+03	-4.7538441131e+03	0.0000000000e+00	1.6887854545e+03	-1.6543332058e+01	2.5919136621e+01	-1.6981612591e+03
6.6069344801e-12	2.1728956649e+04	-1.6538710874e+04	4.3433600192e+03	-4.7538441131e+03	0.0000000000e+00	1.6887840275e+03	-1.6543318447e+01	2.5917567597e+01	-1.6981582766e+03
6.7608297539e-12	2.1728955033e+04	-1.6538709420e+04	4.3433585760e+03	-4.7538441132e+03	0.0000000000e+00	1.6887825672e+03	-1.6543304519e+01	2.5915962028e+01	-1.6981552247e+03
6.9183097092e-12	2.1728953379e+04	-1.6538707933e+04	4.3433570993e+03	-4.7538441132e+03	0.0000000000e+00	1.6887810729e+03	-1.6543290266e+01	2.5914319064e+01	-1.6981521017e+03
7.0794578438e-12	2.1728951687e+04	-1.6538706410e+04	4.3433555882e+03	-4.7538441133e+03	0.0000000000e+00	1.6887795439e+03	-1.6543275682e+01	2.5912637834e+01	-1.6981489060e+03
7.2443596007e-12	2.1728949955e+04	-1.6538704853e+04	4.3433540418e+03	-4.7538441133e+03	0.0000000000e+00	1.6887779792e+03	-1.6543260757e+01	2.5910917446e+01	-1.6981456359e+03
7.4131024130e-12	2.1728948183e+04	-1.6538703259e+04	4.3433524595e+03	-4.7538441134e+03	0.0000000000e+00	1.6887763780e+03	-1.6543245486e+01	2.5909156988e+01	-1.6981422896e+03
7.5857757503e-12	2.1728946370e+04	-1.6538701628e+04	4.3433508403e+03	-4.7538441134e+03	0.0000000000e+00	1.6887747396e+03	-1.6543229858e+01	2.5907355528e+01	-1.6981388653e+03
7.7624711663e-12	2.1728944514e+04	-1.6538699958e+04	4.3433491834e+03	-4.7538441135e+03	0.0000000000e+00	1.6887730630e+03	-1.6543213866e+01	2.5905512110e+01	-1.6981353613e+03
7.9432823472e-12	2.1728942615e+04	-1.6538698250e+04	4.3433474879e+03	-4.7538441135e+03	0.0000000000e+00	1.6887713474e+03	-1.6543197502e+01	2.5903625757e+01	-1.6981317757e+03
8.1283051616e-12	2.1728940672e+04	-1.6538696503e+04	4.3433457529e+03	-4.7538441136e+03	0.0000000000e+00	1.6887695918e+03	-1.6543180757e+01	2.5901695470e+01	-1.6981281065e+03
8.3176377110e-12	2.1728938684e+04	-1.6538694714e+04	4.3433439775e+03	-4.7538441137e+03	0.0000000000e+00	1.6887677953e+03	-1.6543163622e+01	2.5899720224e+01	-1.6981243519e+03
8.5113803820e-12	2.1728936650e+04	-1.6538692884e+04	4.3433421607e+03	-4.7538441137e+03	0.0000000000e+00	1.6887659570e+03	-1.6543146087e+01	2.5897698974e+01	-1.6981205099e+03
8.7096358996e-12	2.1728934568e+04	-1.6538691011e+04	4.3433403017e+03	-4.7538441138e+03	0.0000000000e+00	1.6887640759e+03	-1.6543128145e+01	2.5895630648e+01	-1.6981165784e+03
8.9125093813e-12	2.1728932437e+04	-1.6538689095e+04	4.3433383993e+03	-4.7538441139e+03	0.0000000000e+00	1.6887621509e+03	-1.6543109784e+01	2.5893514149e+01	-1.6981125553e+03
9.1201083936e-12	2.1728930257e+04	-1.6538687134e+04	4.3433364526e+03	-4.7538441139e+03	0.0000000000e+00	1.6887601811e+03	-1.6543090996e+01	2.5891348356e+01	-1.6981084385e+03
9.3325430080e-12	2.1728928027e+04	-1.6538685127e+04	4.3433344606e+03	-4.7538441140e+03	0.0000000000e+00	1.6887581655e+03	-1.6543071770e+01	2.5889132120e+01	-1.6981042258e+03
9.5499258602e-12	2.1728925744e+04	-1.6538683074e+04	4.3433324222e+03	-4.7538441141e+03	0.0000000000e+00	1.6887561029e+03	-1.6543052096e+01	2.5886864267e+01	-1.6980999150e+03
9.7723722096e-12	2.1728923408e+04	-1.6538680973e+04	4.3433303363e+03	-4.7538441141e+03	0.0000000000e+00	1.6887539922e+03	-1.6543031964e+01	2.5884543596e+01	-1.6980955039e+03
1.0000000000e-11	2.1728921018e+04	-1.6538678822e+04	4.3433282019e+03	-4.7538441142e+03	0.0000000000e+00	1.6887518324e+03	-1.6543011363e+01	2.5882168875e+01	-1.6980909899e+03
1.0232929923e-11	2.1728918572e+04	-1.6538676622e+04	4.3433260177e+03	-4.7538441143e+03	0.0000000000e+00	1.6887496223e+03	-1.6542990283e+01	2.5879738846e+01	-1.6980863709e+03
1.0471285481e-11	2.1728916069e+04	-1.6538674371e+04	4.3433237826e+03	-4.7538441143e+03	0.0000000000e+00	1.6887473607e+03	-1.6542968711e+01	2.5877252221e+01	-1.6980816442e+03
1.0715193052e-11	2.1728913508e+04	-1.6538672067e+04	4.3433214955e+03	-4.7538441144e+03	0.0000000000e+00	1.6887450465e+03	-1.6542946637e+01	2.5874707683e+01	-1.6980768075e+03
1.0964781961e-11	2.1728910887e+04	-1.6538669709e+04	4.3433191552e+03	-4.7538441145e+03	0.0000000000e+00	1.6887426783e+03	-1.6542924049e+01	2.5872103882e+01	-1.6980718582e+03
1.1220184543e-11	2.1728908205e+04	-1.6538667297e+04	4.3433167603e+03	-4.7538441146e+03	0.0000000000e+00	1.6887402550e+03	-1.6542900934e+01	2.5869439439e+01	-1.6980667935e+03
1.1481536215e-11	2.1728905460e+04	-1.6538664828e+04	4.3433143096e+03	-4.7538441147e+03	0.0000000000e+00	1.6887377753e+03	-1.6542877282e+01	2.5866712941e+01	-1.6980616109e+03
1.1748975549e-11	2.1728902652e+04	-1.6538662302e+04	4.3433118019e+03	-4.7538441147e+03	0.0000000000e+00	1.6887352378e+03	-1.6542853078e+01	2.5863922944e+01	-1.6980563076e+03
1.2022644346e-11	2.1728899778e+04	-1.6538659717e+04	4.3433092358e+03	-4.7538441148e+03	0.0000000000e+00	1.6887326412e+03	-1.6542828311e+01	2.5861067968e+01	-1.6980508808e+03
1.2302687708e-11	2.1728896838e+04	-1.6538657071e+04	4.3433066099e+03	-4.7538441149e+03	0.0000000000e+00	1.6887299841e+03	-1.6542802967e+01	2.5858146501e+01	-1.6980453276e+03
1.2589254118e-11	2.1728893829e+04	-1.6538654365e+04	4.3433039228e+03	-4.7538441150e+03	0.0000000000e+00	1.6887272652e+03	-1.6542777032e+01	2.5855156994e+01	-1.6980396451e+03
1.2882495517e-11	2.1728890750e+04	-1.6538651595e+04	4.3433011732e+03	-4.7538441151e+03	0.0000000000e+00	1.6887244829e+03	-1.6542750494e+01	2.5852097863e+01	-1.6980338303e+03
1.3182567386e-11	2.1728887599e+04	-1.6538648760e+04	4.3432983596e+03	-4.7538441152e+03	0.0000000000e+00	1.6887216358e+03	-1.6542723337e+01	2.5848967486e+01	-1.6980278800e+03
1.3489628826e-11	2.1728884374e+04	-1.6538645860e+04	4.3432954804e+03	-4.7538441153e+03	0.0000000000e+00	1.6887187224e+03	-1.6542695548e+01	2.5845764205e+01	-1.6980217911e+03
1.3803842646e-11	2.1728881075e+04	-1.6538642892e+04	4.3432925341e+03	-4.7538441154e+03	0.0000000000e+00	1.6887157412e+03	-1.6542667111e+01	2.5842486321e+01	-1.6980155604e+03
1.4125375446e-11	2.1728877699e+04	-1.6538639855e+04	4.3432895192e+03	-4.7538441155e+03	0.0000000000e+00	1.6887126905e+03	-1.6542638013e+01	2.5839132099e+01	-1.6980091846e+03
1.4454397707e-11	2.1728874244e+04	-1.6538636747e+04	4.3432864342e+03	-4.7538441156e+03	0.0000000000e+00	1.6887095688e+03	-1.6542608236e+01	2.5835699759e+01	-1.6980026604e+03
1.4791083882e-11	2.1728870709e+04	-1.6538633567e+04	4.3432832772e+03	-4.7538441157e+03	0.0000000000e+00	1.6887063744e+03	-1.6542577766e+01	2.5832187484e+01	-1.6979959841e+03
1.5135612484e-11	2.1728867091e+04	-1.6538630313e+04	4.3432800468e+03	-4.7538441158e+03	0.0000000000e+00	1.6887031056e+03	-1.6542546587e+01	2.5828593412e+01	-1.6979891524e+03
1.5488166189e-11	2.1728863389e+04	-1.6538626983e+04	4.3432767411e+03	-4.7538441159e+03	0.0000000000e+00	1.6886997607e+03	-1.6542514681e+01	2.5824915638e+01	-1.6979821616e+03
1.5848931925e-11	2.1728859601e+04	-1.6538623575e+04	4.3432733584e+03	-4.7538441160e+03	0.0000000000e+00	1.6886963379e+03	-1.6542482032e+01	2.5821152213e+01	-1.6979750080e+03
1.6218100974e-11	2.1728855725e+04	-1.6538620088e+04	4.3432698970e+03	-4.7538441161e+03	0.0000000000e+00	1.6886928353e+03	-1.6542448623e+01	2.5817301143e+01	-1.6979676878e+03
1.6595869074e-11	2.1728851758e+04	-1.6538616520e+04	4.3432663549e+03	-4.7538441163e+03	0.0000000000e+00	1.6886892512e+03	-1.6542414436e+01	2.5813360388e+01	-1.6979601972e+03
1.6982436525e-11	2.1728847699e+04	-1.6538612869e+04	4.3432627304e+03	-4.7538441164e+03	0.0000000000e+00	1.6886855836e+03	-1.6542379452e+01	2.5809327859e+01	-1.6979525320e+03
1.7378008287e-11	2.1728843545e+04	-1.6538609133e+04	4.3432590214e+03	-4.7538441165e+03	0.0000000000e+00	1.6886818306e+03	-1.6542343654e+01	2.5805201419e+01	-1.6979446884e+03
1.7782794100e-11	2.1728839295e+04	-1.6538605309e+04	4.3432552261e+03	-4.7538441166e+03	0.0000000000e+00	1.6886779902e+03	-1.6542307022e+01	2.5800978881e+01	-1.6979366621e+03
1.8197008586e-11	2.1728834946e+04	-1.6538601397e+04	4.3432513424e+03	-4.7538441167e+03	0.0000000000e+00	1.6886740604e+03	-1.6542269536e+01	2.5796658009e+01	-1.6979284489e+03
1.8620871367e-11	2.1728830496e+04	-1.6538597393e+04	4.3432473682e+03	-4.7538441169e+03	0.0000000000e+00	1.6886700391e+03	-1.6542231178e+01	2.5792236512e+01	-1.6979200444e+03
1.9054607180e-11	2.1728825941e+04	-1.6538593297e+04	4.3432433015e+03	-4.7538441170e+03	0.0000000000e+00	1.6886659241e+03	-1.6542191926e+01	2.5787712048e+01	-1.6979114442e+03
1.9498445998e-11	2.1728821281e+04	-1.6538589105e+04	4.3432391401e+03	-4.7538441172e+03	0.0000000000e+00	1.6886617133e+03	-1.6542151760e+01	2.5783082219e+01	-1.6979026437e+03
1.9952623150e-11	2.1728816512e+04	-1.6538584815e+04	4.3432348818e+03	-4.7538441173e+03	0.0000000000e+00	1.6886574044e+03	-1.6542110659e+01	2.5778344573e+01	-1.6978936383e+03
2.0417379447e-11	2.1728811633e+04	-1.6538580426e+04	4.3432305243e+03	-4.7538441174e+03	0.0000000000e+00	1.6886529951e+03	-1.6542068600e+01	2.5773496599e+01	-1.6978844231e+03
